FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;Provincia_Distrito;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221106;2022/11/06;PRESA EJIDOS;CANAL PRINCIPAL;m3/s;HIDROMETRICA;Piura;Piura ;Castilla;Piura /Castilla;200104;10.17;10.17;0;0
20221106;2022/11/06;PRESA EJIDOS;PTE. SANCHEZ CERRO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;Piura /Castilla;200104;0.5;0.5;0.5;0
20221106;2022/11/06;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Piura ;Castilla;Piura /Castilla;200104;29.2;0;29.19;0
20221106;2022/11/06;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;Piura /Castilla;200104;0;0;0;0
20221106;2022/11/06;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Piura ;Tambo Grande;Piura /Tambo Grande;200114;0;0;0;0
20221106;2022/11/06;RIO PIURA;PTE. nACARA;m3/s;HIDROMETRICA;Piura;MorropOn ;Chulucanas;MorropOn /Chulucanas;200401;0;0;0;0
20221106;2022/11/06;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;18.3;18.3;0;0
20221106;2022/11/06;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;5;5;5;0
20221106;2022/11/06;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;36.99;0;37;0
20221106;2022/11/06;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Piura ;Piura;Piura /Piura;200101;0;11.75;0;0
20221106;2022/11/06;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Sullana ;Sullana;Sullana /Sullana;200601;22.4;21.8;22.4;0
20221106;2022/11/06;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;51.74;0;0
20221106;2022/11/06;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0;3.45;0;0
20221106;2022/11/06;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;0.42;0.42;0.42;0
20221106;2022/11/06;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;36;33.95;36;0
20221106;2022/11/06;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;8.93;8.93;8.93;0
20221106;2022/11/06;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;1;5;27;0
20221106;2022/11/06;SALIDA DE RESERVERIO;RIO CHIRA - TUNEL;m3/s;HIDROLOGICA;Piura;Sullana ;Lancones;Sullana /Lancones;200604;1;5;27;0
